filename, language, JSON, JavaScript, TypeScript, HTML, SCSS, comment, blank, total
c:\Users\alimc\Desktop\final_year_project\finalYearApp\angular.json, JSON, 52, 0, 0, 0, 0, 144, 0, 196
c:\Users\alimc\Desktop\final_year_project\finalYearApp\e2e\protractor.conf.js, JavaScript, 0, 24, 0, 0, 0, 2, 3, 29
c:\Users\alimc\Desktop\final_year_project\finalYearApp\e2e\src\app.e2e-spec.ts, TypeScript, 0, 0, 17, 0, 0, 0, 3, 20
c:\Users\alimc\Desktop\final_year_project\finalYearApp\e2e\src\app.po.ts, TypeScript, 0, 0, 12, 0, 0, 0, 4, 16
c:\Users\alimc\Desktop\final_year_project\finalYearApp\e2e\tsconfig.json, JSON, 13, 0, 0, 0, 0, 0, 1, 14
c:\Users\alimc\Desktop\final_year_project\finalYearApp\ionic.config.json, JSON, 5, 0, 0, 0, 0, 0, 1, 6
c:\Users\alimc\Desktop\final_year_project\finalYearApp\karma.conf.js, JavaScript, 0, 28, 0, 0, 0, 2, 2, 32
c:\Users\alimc\Desktop\final_year_project\finalYearApp\package-lock.json, JSON, 12226, 0, 0, 0, 0, 0, 1, 12227
c:\Users\alimc\Desktop\final_year_project\finalYearApp\package.json, JSON, 67, 0, 0, 0, 0, 0, 1, 68
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\AbcFormatter.ts, TypeScript, 0, 0, 34, 0, 0, 3, 9, 46
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\app-routing.module.ts, TypeScript, 0, 0, 36, 0, 0, 0, 8, 44
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\app.component.html, HTML, 0, 0, 0, 40, 0, 13, 9, 62
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\app.component.scss, SCSS, 0, 0, 0, 0, 6, 0, 2, 8
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\app.component.spec.ts, TypeScript, 0, 0, 47, 0, 0, 0, 12, 59
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\app.component.ts, TypeScript, 0, 0, 51, 0, 0, 0, 5, 56
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\app.module.ts, TypeScript, 0, 0, 30, 0, 0, 0, 3, 33
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\components\bar-chart\bar-chart.component.html, HTML, 0, 0, 0, 12, 0, 0, 0, 12
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\components\bar-chart\bar-chart.component.scss, SCSS, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\alimc\Desktop\final_year_project\finalYearApp\src\app\components\bar-chart\bar-chart.component.spec.ts, TypeScript, 0, 0, 19, 0, 0, 0, 7, 26
