Date : 2020-02-29 21:37:19
Directory : c:\Users\alimc\Desktop\final_year_project\finalYearApp
Total : 101 files,  55111 codes, 406 comments, 538 blanks, all 56055 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |         11 |     52,343 |        144 |          8 |     52,495 |
| TypeScript |         57 |      2,094 |        130 |        409 |      2,633 |
| HTML       |         15 |        490 |         95 |         73 |        658 |
| SCSS       |         16 |        132 |         33 |         43 |        208 |
| JavaScript |          2 |         52 |          4 |          5 |         61 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                   |        101 |     55,111 |        406 |        538 |     56,055 |
| e2e                                                                                                                 |          4 |         66 |          2 |         11 |         79 |
| e2e\src                                                                                                             |          2 |         29 |          0 |          7 |         36 |
| src                                                                                                                 |         88 |     42,520 |        258 |        518 |     43,296 |
| src\app                                                                                                             |         77 |      2,563 |        154 |        469 |      3,186 |
| src\app\components                                                                                                  |         12 |        745 |          1 |         75 |        821 |
| src\app\components\bar-chart                                                                                        |          4 |        164 |          0 |         22 |        186 |
| src\app\components\do-chart                                                                                         |          4 |        123 |          0 |         18 |        141 |
| src\app\components\polar-chart                                                                                      |          4 |        458 |          1 |         35 |        494 |
| src\app\event-info                                                                                                  |          5 |        164 |          2 |         33 |        199 |
| src\app\events                                                                                                      |          5 |        137 |         81 |         34 |        252 |
| src\app\home                                                                                                        |          5 |         94 |          4 |         26 |        124 |
| src\app\list                                                                                                        |          5 |        100 |          9 |         18 |        127 |
| src\app\map-info                                                                                                    |          5 |        164 |          2 |         34 |        200 |
| src\app\model                                                                                                       |          3 |         16 |          0 |          1 |         17 |
| src\app\news                                                                                                        |          5 |        102 |          2 |         22 |        126 |
| src\app\recordings                                                                                                  |          5 |        146 |          1 |         33 |        180 |
| src\app\service                                                                                                     |          2 |         80 |          0 |         27 |        107 |
| src\app\shared                                                                                                      |          1 |         19 |          0 |          4 |         23 |
| src\app\statistics                                                                                                  |          5 |        142 |          0 |         33 |        175 |
| src\app\tune-info                                                                                                   |          5 |        235 |         28 |         49 |        312 |
| src\app\tunes                                                                                                       |          5 |        149 |          8 |         27 |        184 |
| src\assets                                                                                                          |          2 |     39,833 |          0 |          0 |     39,833 |
| src\environments                                                                                                    |          2 |          6 |         11 |          4 |         21 |
| src\theme                                                                                                           |          1 |         56 |         12 |         11 |         79 |
